dataset	method	seed	rmse_final	score_final	log_file
FD001	A	2	15.2895393372	517.9869384766	/CMAPSS-release/logs/FD001_FD001_A/seed2/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_001854_seed2.log
FD001	A	17	14.4851646423	313.5351257324	/CMAPSS-release/logs/FD001_FD001_A/seed17/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002108_seed17.log
FD001	A	27	14.0609388351	307.1683044434	/CMAPSS-release/logs/FD001_FD001_A/seed27/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002313_seed27.log
FD001	A	30	14.7295627594	369.5175476074	/CMAPSS-release/logs/FD001_FD001_A/seed30/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002522_seed30.log
FD001	A	33	14.9036903381	397.1337280273	/CMAPSS-release/logs/FD001_FD001_A/seed33/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002730_seed33.log
FD001	A	51	14.7006807327	359.2142944336	/CMAPSS-release/logs/FD001_FD001_A/seed51/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002942_seed51.log
FD001	A	62	14.2355184555	349.4866638184	/CMAPSS-release/logs/FD001_FD001_A/seed62/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003151_seed62.log
FD001	A	80	13.1480035782	281.0731201172	/CMAPSS-release/logs/FD001_FD001_A/seed80/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003412_seed80.log
FD001	A	88	14.7678699493	372.2259216309	/CMAPSS-release/logs/FD001_FD001_A/seed88/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003633_seed88.log
FD001	A	97	15.2023029327	407.6669921875	/CMAPSS-release/logs/FD001_FD001_A/seed97/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003856_seed97.log
FD001	B	2	14.1668624878	329.3725280762	/CMAPSS-release/logs/FD001_FD001_B/seed2/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004115_seed2.log
FD001	B	17	14.3857564926	318.6533813477	/CMAPSS-release/logs/FD001_FD001_B/seed17/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004357_seed17.log
FD001	B	27	15.2892112732	423.6536865234	/CMAPSS-release/logs/FD001_FD001_B/seed27/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004631_seed27.log
FD001	B	30	14.9846582413	368.8104248047	/CMAPSS-release/logs/FD001_FD001_B/seed30/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004905_seed30.log
FD001	B	33	13.3921623230	313.7502746582	/CMAPSS-release/logs/FD001_FD001_B/seed33/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005137_seed33.log
FD001	B	51	13.6601610184	304.4079589844	/CMAPSS-release/logs/FD001_FD001_B/seed51/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005409_seed51.log
FD001	B	62	13.6645526886	330.2045593262	/CMAPSS-release/logs/FD001_FD001_B/seed62/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005652_seed62.log
FD001	B	80	15.0216512680	351.6766357422	/CMAPSS-release/logs/FD001_FD001_B/seed80/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005949_seed80.log
FD001	B	88	13.5436325073	381.1639099121	/CMAPSS-release/logs/FD001_FD001_B/seed88/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_010230_seed88.log
FD001	B	97	14.3185195923	327.3755493164	/CMAPSS-release/logs/FD001_FD001_B/seed97/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_010522_seed97.log
FD001	C	2	14.6529865265	407.6538085938	/CMAPSS-release/logs/FD001_FD001_C/seed2/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_010755_seed2.log
FD001	C	17	16.4484043121	542.8406372070	/CMAPSS-release/logs/FD001_FD001_C/seed17/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011014_seed17.log
FD001	C	27	15.1370410919	437.5170898438	/CMAPSS-release/logs/FD001_FD001_C/seed27/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011220_seed27.log
FD001	C	30	17.5544872284	674.4418334961	/CMAPSS-release/logs/FD001_FD001_C/seed30/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011435_seed30.log
FD001	C	33	13.9000005722	297.0312500000	/CMAPSS-release/logs/FD001_FD001_C/seed33/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011642_seed33.log
FD001	C	51	14.5316896439	367.1638183594	/CMAPSS-release/logs/FD001_FD001_C/seed51/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011853_seed51.log
FD001	C	62	13.8791208267	319.0808715820	/CMAPSS-release/logs/FD001_FD001_C/seed62/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012053_seed62.log
FD001	C	80	14.3940963745	364.9723815918	/CMAPSS-release/logs/FD001_FD001_C/seed80/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012259_seed80.log
FD001	C	88	13.8928041458	326.3959960938	/CMAPSS-release/logs/FD001_FD001_C/seed88/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012523_seed88.log
FD001	C	97	15.6936292648	446.6935119629	/CMAPSS-release/logs/FD001_FD001_C/seed97/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012750_seed97.log
FD001	D	2	13.7767925262	321.4006042480	/CMAPSS-release/logs/FD001_FD001_D/seed2/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012958_seed2.log
FD001	D	17	13.3794612885	276.7499694824	/CMAPSS-release/logs/FD001_FD001_D/seed17/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_013249_seed17.log
FD001	D	27	14.1957740784	403.3905029297	/CMAPSS-release/logs/FD001_FD001_D/seed27/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_013535_seed27.log
FD001	D	30	14.1467313766	348.3804016113	/CMAPSS-release/logs/FD001_FD001_D/seed30/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_013827_seed30.log
FD001	D	33	14.9338541031	357.3569946289	/CMAPSS-release/logs/FD001_FD001_D/seed33/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_014113_seed33.log
FD001	D	51	13.3603887558	268.6666564941	/CMAPSS-release/logs/FD001_FD001_D/seed51/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_014409_seed51.log
FD001	D	62	14.9167690277	402.6389465332	/CMAPSS-release/logs/FD001_FD001_D/seed62/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_014707_seed62.log
FD001	D	80	13.5403099060	281.3037719727	/CMAPSS-release/logs/FD001_FD001_D/seed80/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_014951_seed80.log
FD001	D	88	15.0093307495	378.4302978516	/CMAPSS-release/logs/FD001_FD001_D/seed88/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_015255_seed88.log
FD001	D	97	14.4149227142	421.1058654785	/CMAPSS-release/logs/FD001_FD001_D/seed97/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_015550_seed97.log
FD001	E	2	15.6952219009	653.6953125000	/CMAPSS-release/logs/FD001_FD001_E/seed2/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_015848_seed2.log
FD001	E	17	17.3628921509	986.4439697266	/CMAPSS-release/logs/FD001_FD001_E/seed17/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020035_seed17.log
FD001	E	27	17.2507972717	786.7201538086	/CMAPSS-release/logs/FD001_FD001_E/seed27/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020213_seed27.log
FD001	E	30	16.8798694611	613.7205200195	/CMAPSS-release/logs/FD001_FD001_E/seed30/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020354_seed30.log
FD001	E	33	15.7657852173	630.6116943359	/CMAPSS-release/logs/FD001_FD001_E/seed33/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020536_seed33.log
FD001	E	51	17.6241302490	664.5789794922	/CMAPSS-release/logs/FD001_FD001_E/seed51/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020717_seed51.log
FD001	E	62	15.9110021591	619.4611206055	/CMAPSS-release/logs/FD001_FD001_E/seed62/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020850_seed62.log
FD001	E	80	16.0934772491	701.7457885742	/CMAPSS-release/logs/FD001_FD001_E/seed80/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_021026_seed80.log
FD001	E	88	16.3655128479	696.8476562500	/CMAPSS-release/logs/FD001_FD001_E/seed88/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_021155_seed88.log
FD001	E	97	17.6439800262	953.4030151367	/CMAPSS-release/logs/FD001_FD001_E/seed97/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_021346_seed97.log
FD001	F	2	14.6280546188	393.5076904297	/CMAPSS-release/logs/FD001_FD001_F/seed2/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_233704_seed2.log
FD001	F	17	14.9415531158	437.4868774414	/CMAPSS-release/logs/FD001_FD001_F/seed17/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_233952_seed17.log
FD001	F	27	13.8924436569	337.0988769531	/CMAPSS-release/logs/FD001_FD001_F/seed27/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_234233_seed27.log
FD001	F	30	14.4993104935	340.1533203125	/CMAPSS-release/logs/FD001_FD001_F/seed30/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_234503_seed30.log
FD001	F	33	14.0271167755	334.3605651855	/CMAPSS-release/logs/FD001_FD001_F/seed33/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_234747_seed33.log
FD001	F	51	13.1681432724	275.9438781738	/CMAPSS-release/logs/FD001_FD001_F/seed51/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_235029_seed51.log
FD001	F	62	13.8397970200	324.2491149902	/CMAPSS-release/logs/FD001_FD001_F/seed62/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_235307_seed62.log
FD001	F	80	14.3589687347	335.3450317383	/CMAPSS-release/logs/FD001_FD001_F/seed80/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_235539_seed80.log
FD001	F	88	13.6308479309	304.2529296875	/CMAPSS-release/logs/FD001_FD001_F/seed88/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_235819_seed88.log
FD001	F	97	14.3467769623	345.9144287109	/CMAPSS-release/logs/FD001_FD001_F/seed97/FD001_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_000056_seed97.log
FD002	A	2	13.5278921127	988.7731933594	/CMAPSS-release/logs/FD002_FD002_A/seed2/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_021541_seed2.log
FD002	A	17	14.0012407303	1002.7310791016	/CMAPSS-release/logs/FD002_FD002_A/seed17/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_022247_seed17.log
FD002	A	27	12.9924240112	877.9699707031	/CMAPSS-release/logs/FD002_FD002_A/seed27/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_022942_seed27.log
FD002	A	30	13.7466039658	833.9685058594	/CMAPSS-release/logs/FD002_FD002_A/seed30/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_023830_seed30.log
FD002	A	33	13.2915048599	862.7100830078	/CMAPSS-release/logs/FD002_FD002_A/seed33/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_024758_seed33.log
FD002	A	51	13.2672262192	928.6118164062	/CMAPSS-release/logs/FD002_FD002_A/seed51/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_025706_seed51.log
FD002	A	62	13.4630908966	872.8737182617	/CMAPSS-release/logs/FD002_FD002_A/seed62/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_030400_seed62.log
FD002	A	80	13.1257658005	901.2494506836	/CMAPSS-release/logs/FD002_FD002_A/seed80/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_031102_seed80.log
FD002	A	88	13.3497648239	891.3738403320	/CMAPSS-release/logs/FD002_FD002_A/seed88/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_031815_seed88.log
FD002	A	97	13.3145780563	911.3282470703	/CMAPSS-release/logs/FD002_FD002_A/seed97/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_032523_seed97.log
FD002	B	2	13.1351747513	900.1738281250	/CMAPSS-release/logs/FD002_FD002_B/seed2/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_033241_seed2.log
FD002	B	17	13.9463949203	1248.9506835938	/CMAPSS-release/logs/FD002_FD002_B/seed17/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_033852_seed17.log
FD002	B	27	13.2551441193	960.1671142578	/CMAPSS-release/logs/FD002_FD002_B/seed27/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_034708_seed27.log
FD002	B	30	13.3979778290	1015.3244018555	/CMAPSS-release/logs/FD002_FD002_B/seed30/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_035531_seed30.log
FD002	B	33	12.8344068527	833.0857543945	/CMAPSS-release/logs/FD002_FD002_B/seed33/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_040341_seed33.log
FD002	B	51	12.8775043488	878.0825805664	/CMAPSS-release/logs/FD002_FD002_B/seed51/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_041001_seed51.log
FD002	B	62	12.8540964127	923.2246704102	/CMAPSS-release/logs/FD002_FD002_B/seed62/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_041553_seed62.log
FD002	B	80	13.2026090622	996.6016845703	/CMAPSS-release/logs/FD002_FD002_B/seed80/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_042206_seed80.log
FD002	B	88	13.2455282211	1030.8389892578	/CMAPSS-release/logs/FD002_FD002_B/seed88/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_042812_seed88.log
FD002	B	97	13.8299093246	1054.1190185547	/CMAPSS-release/logs/FD002_FD002_B/seed97/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_043406_seed97.log
FD002	C	2	12.8656558990	822.4701538086	/CMAPSS-release/logs/FD002_FD002_C/seed2/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_044012_seed2.log
FD002	C	17	14.2402172089	1022.2827148438	/CMAPSS-release/logs/FD002_FD002_C/seed17/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_044556_seed17.log
FD002	C	27	13.6599626541	1016.5582275391	/CMAPSS-release/logs/FD002_FD002_C/seed27/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_045346_seed27.log
FD002	C	30	13.4958877563	921.5395507812	/CMAPSS-release/logs/FD002_FD002_C/seed30/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_050028_seed30.log
FD002	C	33	13.4224500656	883.2665405273	/CMAPSS-release/logs/FD002_FD002_C/seed33/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_050726_seed33.log
FD002	C	51	13.8075580597	1065.2938232422	/CMAPSS-release/logs/FD002_FD002_C/seed51/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_051303_seed51.log
FD002	C	62	13.9310216904	1104.9167480469	/CMAPSS-release/logs/FD002_FD002_C/seed62/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_051835_seed62.log
FD002	C	80	14.0307168961	1322.8973388672	/CMAPSS-release/logs/FD002_FD002_C/seed80/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_052410_seed80.log
FD002	C	88	13.8519477844	944.0377197266	/CMAPSS-release/logs/FD002_FD002_C/seed88/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_052958_seed88.log
FD002	C	97	12.4797906876	743.8377075195	/CMAPSS-release/logs/FD002_FD002_C/seed97/FD002_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_053455_seed97.log
FD002	D	2	13.4825782776	1002.4168701172	/CMAPSS-release/logs/FD002_FD002_D/seed2/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_054018_seed2.log
FD002	D	17	14.4584341049	1243.1352539062	/CMAPSS-release/logs/FD002_FD002_D/seed17/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_054721_seed17.log
FD002	D	27	13.1076622009	814.3164672852	/CMAPSS-release/logs/FD002_FD002_D/seed27/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_055633_seed27.log
FD002	D	30	13.6400213242	990.9743652344	/CMAPSS-release/logs/FD002_FD002_D/seed30/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_060548_seed30.log
FD002	D	33	14.2109050751	1112.5146484375	/CMAPSS-release/logs/FD002_FD002_D/seed33/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_061416_seed33.log
FD002	D	51	13.1525058746	884.8221435547	/CMAPSS-release/logs/FD002_FD002_D/seed51/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_062204_seed51.log
FD002	D	62	13.6003351212	882.9410400391	/CMAPSS-release/logs/FD002_FD002_D/seed62/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_062905_seed62.log
FD002	D	80	13.6216106415	1121.9904785156	/CMAPSS-release/logs/FD002_FD002_D/seed80/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_063542_seed80.log
FD002	D	88	13.3514995575	986.0916137695	/CMAPSS-release/logs/FD002_FD002_D/seed88/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_064253_seed88.log
FD002	D	97	13.3705720901	923.9442138672	/CMAPSS-release/logs/FD002_FD002_D/seed97/FD002_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_064949_seed97.log
FD002	E	2	37.1582260132	53488.2265625000	/CMAPSS-release/logs/FD002_FD002_E/seed2/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_065658_seed2.log
FD002	E	17	36.5060424805	56692.8007812500	/CMAPSS-release/logs/FD002_FD002_E/seed17/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_070111_seed17.log
FD002	E	27	36.0268554688	63341.7968750000	/CMAPSS-release/logs/FD002_FD002_E/seed27/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_070517_seed27.log
FD002	E	30	35.7389183044	56386.2070312500	/CMAPSS-release/logs/FD002_FD002_E/seed30/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_070935_seed30.log
FD002	E	33	35.2243766785	37912.1757812500	/CMAPSS-release/logs/FD002_FD002_E/seed33/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_071329_seed33.log
FD002	E	51	37.4464874268	68738.8828125000	/CMAPSS-release/logs/FD002_FD002_E/seed51/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_071741_seed51.log
FD002	E	62	36.0613479614	54208.1640625000	/CMAPSS-release/logs/FD002_FD002_E/seed62/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_072158_seed62.log
FD002	E	80	34.5265274048	40532.6093750000	/CMAPSS-release/logs/FD002_FD002_E/seed80/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_072607_seed80.log
FD002	E	88	35.4229812622	113886.1250000000	/CMAPSS-release/logs/FD002_FD002_E/seed88/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_073001_seed88.log
FD002	E	97	33.7895507812	49951.6250000000	/CMAPSS-release/logs/FD002_FD002_E/seed97/FD002_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_073344_seed97.log
FD002	F	2	13.0050477982	850.3304443359	/CMAPSS-release/logs/FD002_FD002_F/seed2/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_000350_seed2.log
FD002	F	17	13.5425825119	1227.1372070312	/CMAPSS-release/logs/FD002_FD002_F/seed17/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_001037_seed17.log
FD002	F	27	13.2143020630	1004.2732543945	/CMAPSS-release/logs/FD002_FD002_F/seed27/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_001734_seed27.log
FD002	F	30	13.4822921753	1033.5758056641	/CMAPSS-release/logs/FD002_FD002_F/seed30/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_002357_seed30.log
FD002	F	33	12.7092523575	921.5982666016	/CMAPSS-release/logs/FD002_FD002_F/seed33/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_003026_seed33.log
FD002	F	51	13.2478599548	941.6728515625	/CMAPSS-release/logs/FD002_FD002_F/seed51/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_003718_seed51.log
FD002	F	62	13.2697000504	1037.1995849609	/CMAPSS-release/logs/FD002_FD002_F/seed62/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_004358_seed62.log
FD002	F	80	12.9919786453	929.5908203125	/CMAPSS-release/logs/FD002_FD002_F/seed80/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_005056_seed80.log
FD002	F	88	13.3528013229	1005.8837890625	/CMAPSS-release/logs/FD002_FD002_F/seed88/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_005724_seed88.log
FD002	F	97	13.7167987823	932.6957397461	/CMAPSS-release/logs/FD002_FD002_F/seed97/FD002_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_010417_seed97.log
