dataset	method	seed	rmse_final	score_final	log_file
FD003	A	2	14.7935800552	826.0886840820	/CMAPSS-release/logs/FD003_FD003_A/seed2/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_073719_seed2.log
FD003	A	17	14.9361972809	1131.6392822266	/CMAPSS-release/logs/FD003_FD003_A/seed17/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_074041_seed17.log
FD003	A	27	14.9428911209	884.3582763672	/CMAPSS-release/logs/FD003_FD003_A/seed27/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_074351_seed27.log
FD003	A	30	15.0176563263	1140.5690917969	/CMAPSS-release/logs/FD003_FD003_A/seed30/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_074653_seed30.log
FD003	A	33	14.5120639801	743.2193603516	/CMAPSS-release/logs/FD003_FD003_A/seed33/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_075022_seed33.log
FD003	A	51	15.2367973328	1218.0383300781	/CMAPSS-release/logs/FD003_FD003_A/seed51/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_075350_seed51.log
FD003	A	62	15.0900630951	1404.9189453125	/CMAPSS-release/logs/FD003_FD003_A/seed62/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_075722_seed62.log
FD003	A	80	15.3404693604	1210.6845703125	/CMAPSS-release/logs/FD003_FD003_A/seed80/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_080119_seed80.log
FD003	A	88	14.3408508301	776.1437988281	/CMAPSS-release/logs/FD003_FD003_A/seed88/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_080449_seed88.log
FD003	A	97	14.2758541107	1003.3450927734	/CMAPSS-release/logs/FD003_FD003_A/seed97/FD003_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_080808_seed97.log
FD003	B	2	15.7667369843	1377.4199218750	/CMAPSS-release/logs/FD003_FD003_B/seed2/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_081119_seed2.log
FD003	B	17	15.0910568237	1171.3935546875	/CMAPSS-release/logs/FD003_FD003_B/seed17/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_081432_seed17.log
FD003	B	27	15.1198549271	1028.8046875000	/CMAPSS-release/logs/FD003_FD003_B/seed27/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_081741_seed27.log
FD003	B	30	15.5373744965	1264.1141357422	/CMAPSS-release/logs/FD003_FD003_B/seed30/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_082036_seed30.log
FD003	B	33	14.9769821167	1130.5325927734	/CMAPSS-release/logs/FD003_FD003_B/seed33/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_082338_seed33.log
FD003	B	51	15.2256364822	1417.9370117188	/CMAPSS-release/logs/FD003_FD003_B/seed51/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_082650_seed51.log
FD003	B	62	15.5145092010	1524.9588623047	/CMAPSS-release/logs/FD003_FD003_B/seed62/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_083016_seed62.log
FD003	B	80	15.6099328995	1317.1015625000	/CMAPSS-release/logs/FD003_FD003_B/seed80/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_083323_seed80.log
FD003	B	88	15.7413463593	1192.4221191406	/CMAPSS-release/logs/FD003_FD003_B/seed88/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_083646_seed88.log
FD003	B	97	15.9937486649	1576.8236083984	/CMAPSS-release/logs/FD003_FD003_B/seed97/FD003_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_084010_seed97.log
FD003	C	2	17.0079383850	1583.7584228516	/CMAPSS-release/logs/FD003_FD003_C/seed2/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_084314_seed2.log
FD003	C	17	17.0833244324	1537.1633300781	/CMAPSS-release/logs/FD003_FD003_C/seed17/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_084601_seed17.log
FD003	C	27	19.4925632477	1338.8391113281	/CMAPSS-release/logs/FD003_FD003_C/seed27/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_084826_seed27.log
FD003	C	30	16.6291904449	1324.6075439453	/CMAPSS-release/logs/FD003_FD003_C/seed30/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_085105_seed30.log
FD003	C	33	16.5299720764	1390.3991699219	/CMAPSS-release/logs/FD003_FD003_C/seed33/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_085340_seed33.log
FD003	C	51	17.8482494354	1345.8103027344	/CMAPSS-release/logs/FD003_FD003_C/seed51/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_085622_seed51.log
FD003	C	62	16.9964694977	1343.8425292969	/CMAPSS-release/logs/FD003_FD003_C/seed62/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_085916_seed62.log
FD003	C	80	16.7005996704	1368.9270019531	/CMAPSS-release/logs/FD003_FD003_C/seed80/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_090202_seed80.log
FD003	C	88	15.6834306717	1183.6512451172	/CMAPSS-release/logs/FD003_FD003_C/seed88/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_090455_seed88.log
FD003	C	97	16.3581790924	1150.9843750000	/CMAPSS-release/logs/FD003_FD003_C/seed97/FD003_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_090743_seed97.log
FD003	D	2	14.4571781158	750.9403076172	/CMAPSS-release/logs/FD003_FD003_D/seed2/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_091028_seed2.log
FD003	D	17	14.9843254089	1188.7595214844	/CMAPSS-release/logs/FD003_FD003_D/seed17/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_091347_seed17.log
FD003	D	27	14.1869659424	832.8651733398	/CMAPSS-release/logs/FD003_FD003_D/seed27/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_091712_seed27.log
FD003	D	30	14.5667428970	1148.3691406250	/CMAPSS-release/logs/FD003_FD003_D/seed30/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_092034_seed30.log
FD003	D	33	14.4678955078	991.4398193359	/CMAPSS-release/logs/FD003_FD003_D/seed33/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_092356_seed33.log
FD003	D	51	14.4246320724	954.0444946289	/CMAPSS-release/logs/FD003_FD003_D/seed51/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_092707_seed51.log
FD003	D	62	14.4350271225	1288.2502441406	/CMAPSS-release/logs/FD003_FD003_D/seed62/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_093044_seed62.log
FD003	D	80	15.6448068619	1041.4645996094	/CMAPSS-release/logs/FD003_FD003_D/seed80/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_093423_seed80.log
FD003	D	88	14.1053180695	860.6857910156	/CMAPSS-release/logs/FD003_FD003_D/seed88/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_093804_seed88.log
FD003	D	97	14.5268716812	837.2869873047	/CMAPSS-release/logs/FD003_FD003_D/seed97/FD003_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_094149_seed97.log
FD003	E	2	15.3447065353	1100.8229980469	/CMAPSS-release/logs/FD003_FD003_E/seed2/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_094506_seed2.log
FD003	E	17	15.5967941284	1087.5465087891	/CMAPSS-release/logs/FD003_FD003_E/seed17/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_094718_seed17.log
FD003	E	27	14.9876613617	707.7030029297	/CMAPSS-release/logs/FD003_FD003_E/seed27/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_094921_seed27.log
FD003	E	30	15.3150253296	1082.7888183594	/CMAPSS-release/logs/FD003_FD003_E/seed30/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_095113_seed30.log
FD003	E	33	15.6786479950	1100.2845458984	/CMAPSS-release/logs/FD003_FD003_E/seed33/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_095310_seed33.log
FD003	E	51	16.5069694519	2116.1159667969	/CMAPSS-release/logs/FD003_FD003_E/seed51/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_095448_seed51.log
FD003	E	62	15.2950973511	893.9830932617	/CMAPSS-release/logs/FD003_FD003_E/seed62/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_095634_seed62.log
FD003	E	80	16.1885757446	911.3177490234	/CMAPSS-release/logs/FD003_FD003_E/seed80/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_095832_seed80.log
FD003	E	88	17.0760059357	755.7670898438	/CMAPSS-release/logs/FD003_FD003_E/seed88/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_100053_seed88.log
FD003	E	97	15.2046041489	1062.9350585938	/CMAPSS-release/logs/FD003_FD003_E/seed97/FD003_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_100258_seed97.log
FD003	F	2	14.9036903381	1257.1851806641	/CMAPSS-release/logs/FD003_FD003_F/seed2/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_011105_seed2.log
FD003	F	17	14.8087816238	894.5797119141	/CMAPSS-release/logs/FD003_FD003_F/seed17/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_011422_seed17.log
FD003	F	27	15.1634426117	1169.7749023438	/CMAPSS-release/logs/FD003_FD003_F/seed27/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_011725_seed27.log
FD003	F	30	14.2779550552	1143.5904541016	/CMAPSS-release/logs/FD003_FD003_F/seed30/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_012044_seed30.log
FD003	F	33	15.3596878052	1108.2141113281	/CMAPSS-release/logs/FD003_FD003_F/seed33/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_012357_seed33.log
FD003	F	51	16.3193130493	1332.3706054688	/CMAPSS-release/logs/FD003_FD003_F/seed51/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_012715_seed51.log
FD003	F	62	16.1359844208	1194.1068115234	/CMAPSS-release/logs/FD003_FD003_F/seed62/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_013026_seed62.log
FD003	F	80	15.6092920303	1376.8161621094	/CMAPSS-release/logs/FD003_FD003_F/seed80/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_013339_seed80.log
FD003	F	88	14.8969793320	1118.1186523438	/CMAPSS-release/logs/FD003_FD003_F/seed88/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_013641_seed88.log
FD003	F	97	15.3447065353	1603.9750976562	/CMAPSS-release/logs/FD003_FD003_F/seed97/FD003_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_013946_seed97.log
FD004	A	2	18.6941642761	2772.4448242188	/CMAPSS-release/logs/FD004_FD004_A/seed2/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_100515_seed2.log
FD004	A	17	18.5569076538	2341.6660156250	/CMAPSS-release/logs/FD004_FD004_A/seed17/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_101253_seed17.log
FD004	A	27	18.4008903503	1970.2158203125	/CMAPSS-release/logs/FD004_FD004_A/seed27/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_102010_seed27.log
FD004	A	30	17.8427276611	1934.5498046875	/CMAPSS-release/logs/FD004_FD004_A/seed30/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_102808_seed30.log
FD004	A	33	17.0274925232	1674.3322753906	/CMAPSS-release/logs/FD004_FD004_A/seed33/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_103613_seed33.log
FD004	A	51	17.5528011322	2133.1611328125	/CMAPSS-release/logs/FD004_FD004_A/seed51/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_104231_seed51.log
FD004	A	62	18.8613357544	1925.7734375000	/CMAPSS-release/logs/FD004_FD004_A/seed62/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_104958_seed62.log
FD004	A	80	18.8406944275	3953.3457031250	/CMAPSS-release/logs/FD004_FD004_A/seed80/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_105452_seed80.log
FD004	A	88	18.5464763641	2457.8105468750	/CMAPSS-release/logs/FD004_FD004_A/seed88/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_110230_seed88.log
FD004	A	97	17.2581214905	1846.3100585938	/CMAPSS-release/logs/FD004_FD004_A/seed97/FD004_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_110907_seed97.log
FD004	B	2	16.7623329163	1674.7324218750	/CMAPSS-release/logs/FD004_FD004_B/seed2/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_111400_seed2.log
FD004	B	17	17.9992160797	2270.6992187500	/CMAPSS-release/logs/FD004_FD004_B/seed17/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_112138_seed17.log
FD004	B	27	17.3589935303	1516.4006347656	/CMAPSS-release/logs/FD004_FD004_B/seed27/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_112747_seed27.log
FD004	B	30	17.2352085114	1748.2619628906	/CMAPSS-release/logs/FD004_FD004_B/seed30/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_113225_seed30.log
FD004	B	33	17.4288883209	2029.2061767578	/CMAPSS-release/logs/FD004_FD004_B/seed33/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_113656_seed33.log
FD004	B	51	17.9567127228	1928.9440917969	/CMAPSS-release/logs/FD004_FD004_B/seed51/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_114127_seed51.log
FD004	B	62	17.2979106903	2602.8308105469	/CMAPSS-release/logs/FD004_FD004_B/seed62/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_114559_seed62.log
FD004	B	80	17.4166221619	1827.0069580078	/CMAPSS-release/logs/FD004_FD004_B/seed80/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_115225_seed80.log
FD004	B	88	17.5725460052	2229.2116699219	/CMAPSS-release/logs/FD004_FD004_B/seed88/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_115848_seed88.log
FD004	B	97	17.2316989899	1592.2451171875	/CMAPSS-release/logs/FD004_FD004_B/seed97/FD004_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_120619_seed97.log
FD004	C	2	18.3076305389	3232.7563476562	/CMAPSS-release/logs/FD004_FD004_C/seed2/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_121225_seed2.log
FD004	C	17	18.9874744415	3044.8610839844	/CMAPSS-release/logs/FD004_FD004_C/seed17/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_121750_seed17.log
FD004	C	27	18.0365886688	1683.5690917969	/CMAPSS-release/logs/FD004_FD004_C/seed27/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_122349_seed27.log
FD004	C	30	18.6597290039	2801.4851074219	/CMAPSS-release/logs/FD004_FD004_C/seed30/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_123005_seed30.log
FD004	C	33	18.3824729919	2452.2968750000	/CMAPSS-release/logs/FD004_FD004_C/seed33/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_123610_seed33.log
FD004	C	51	21.8892002106	4144.4887695312	/CMAPSS-release/logs/FD004_FD004_C/seed51/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_124217_seed51.log
FD004	C	62	17.3940334320	1761.9399414062	/CMAPSS-release/logs/FD004_FD004_C/seed62/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_124825_seed62.log
FD004	C	80	18.2862548828	2137.8857421875	/CMAPSS-release/logs/FD004_FD004_C/seed80/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_125441_seed80.log
FD004	C	88	18.0816917419	1892.6030273438	/CMAPSS-release/logs/FD004_FD004_C/seed88/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_130041_seed88.log
FD004	C	97	19.0704345703	2832.1435546875	/CMAPSS-release/logs/FD004_FD004_C/seed97/FD004_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_130636_seed97.log
FD004	D	2	18.2195396423	2252.0700683594	/CMAPSS-release/logs/FD004_FD004_D/seed2/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_131252_seed2.log
FD004	D	17	17.6531314850	2173.3852539062	/CMAPSS-release/logs/FD004_FD004_D/seed17/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_132028_seed17.log
FD004	D	27	18.5438671112	2071.1782226562	/CMAPSS-release/logs/FD004_FD004_D/seed27/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_132555_seed27.log
FD004	D	30	17.5920391083	1719.0433349609	/CMAPSS-release/logs/FD004_FD004_D/seed30/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_133122_seed30.log
FD004	D	33	17.4155807495	1717.2115478516	/CMAPSS-release/logs/FD004_FD004_D/seed33/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_133646_seed33.log
FD004	D	51	18.1174488068	2184.1818847656	/CMAPSS-release/logs/FD004_FD004_D/seed51/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_134202_seed51.log
FD004	D	62	18.0156745911	2125.8691406250	/CMAPSS-release/logs/FD004_FD004_D/seed62/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_134722_seed62.log
FD004	D	80	17.8266735077	2064.9248046875	/CMAPSS-release/logs/FD004_FD004_D/seed80/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_135249_seed80.log
FD004	D	88	17.7176551819	1760.6416015625	/CMAPSS-release/logs/FD004_FD004_D/seed88/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_135808_seed88.log
FD004	D	97	18.5154685974	2354.1855468750	/CMAPSS-release/logs/FD004_FD004_D/seed97/FD004_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_140335_seed97.log
FD004	E	2	39.0936126709	79862.2812500000	/CMAPSS-release/logs/FD004_FD004_E/seed2/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_140855_seed2.log
FD004	E	17	40.4334869385	140850.1250000000	/CMAPSS-release/logs/FD004_FD004_E/seed17/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_141220_seed17.log
FD004	E	27	40.5077667236	112447.2187500000	/CMAPSS-release/logs/FD004_FD004_E/seed27/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_141537_seed27.log
FD004	E	30	40.9417877197	135140.6093750000	/CMAPSS-release/logs/FD004_FD004_E/seed30/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_141854_seed30.log
FD004	E	33	38.9425735474	87031.8750000000	/CMAPSS-release/logs/FD004_FD004_E/seed33/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_142244_seed33.log
FD004	E	51	39.1009864807	115463.3437500000	/CMAPSS-release/logs/FD004_FD004_E/seed51/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_142648_seed51.log
FD004	E	62	40.7049255371	118843.4218750000	/CMAPSS-release/logs/FD004_FD004_E/seed62/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_143014_seed62.log
FD004	E	80	38.8135528564	87312.9296875000	/CMAPSS-release/logs/FD004_FD004_E/seed80/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_143337_seed80.log
FD004	E	88	41.6242332458	97621.7734375000	/CMAPSS-release/logs/FD004_FD004_E/seed88/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_143731_seed88.log
FD004	E	97	39.5418319702	108374.9843750000	/CMAPSS-release/logs/FD004_FD004_E/seed97/FD004_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_144136_seed97.log
FD004	F	2	17.0244140625	1844.4879150391	/CMAPSS-release/logs/FD004_FD004_F/seed2/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_014253_seed2.log
FD004	F	17	17.8554897308	2016.3428955078	/CMAPSS-release/logs/FD004_FD004_F/seed17/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_015049_seed17.log
FD004	F	27	16.9039039612	1624.5490722656	/CMAPSS-release/logs/FD004_FD004_F/seed27/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_015856_seed27.log
FD004	F	30	17.2548484802	2008.3038330078	/CMAPSS-release/logs/FD004_FD004_F/seed30/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_020645_seed30.log
FD004	F	33	16.8593578339	1617.2419433594	/CMAPSS-release/logs/FD004_FD004_F/seed33/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_021453_seed33.log
FD004	F	51	17.2561359406	1709.8641357422	/CMAPSS-release/logs/FD004_FD004_F/seed51/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_022256_seed51.log
FD004	F	62	17.2245597839	2222.2473144531	/CMAPSS-release/logs/FD004_FD004_F/seed62/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_023057_seed62.log
FD004	F	80	17.2160148621	1841.7893066406	/CMAPSS-release/logs/FD004_FD004_F/seed80/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_023825_seed80.log
FD004	F	88	17.4016819000	2055.6635742188	/CMAPSS-release/logs/FD004_FD004_F/seed88/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_024619_seed88.log
FD004	F	97	17.0791568756	1400.6003417969	/CMAPSS-release/logs/FD004_FD004_F/seed97/FD004_F_学习率+0.002_嵌入模型维度embed+8_topk+7_0421_025417_seed97.log
